time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
3.26,1440588.385000,6143811.430000,939013.467700,277.185013,-70.058649,-33.870159,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.517748,0.000000,0.000000,10.109164,1,0,0,0,0,0,0,0,0,327,0,0,0
3.27,1440591.156000,6143810.729000,939013.129000,277.160125,-70.086304,-33.872967,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.484545,0.000000,0.000000,10.103879,1,0,0,0,0,0,0,0,0,328,0,0,0
3.28,1440593.928000,6143810.028000,939012.790200,277.135361,-70.113995,-33.875791,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.451256,0.000000,0.000000,10.098581,1,0,0,0,0,0,0,0,0,329,0,0,0
3.29,1440596.699000,6143809.327000,939012.451400,277.110721,-70.141720,-33.878630,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.417879,0.000000,0.000000,10.093269,1,0,0,0,0,0,0,0,0,330,0,0,0
3.30,1440599.470000,6143808.625000,939012.112600,277.086205,-70.169481,-33.881486,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.384415,0.000000,0.000000,10.087943,1,0,0,0,0,0,0,0,0,331,0,0,0
3.31,1440602.240000,6143807.923000,939011.773800,277.061814,-70.197276,-33.884357,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.350864,0.000000,0.000000,10.082603,1,0,0,0,0,0,0,0,0,332,0,0,0
3.32,1440605.011000,6143807.221000,939011.434900,277.037548,-70.225106,-33.887244,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.317227,0.000000,0.000000,10.077250,1,0,0,0,0,0,0,0,0,333,0,0,0
3.33,1440607.781000,6143806.518000,939011.096000,277.013406,-70.252970,-33.890147,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.283502,0.000000,0.000000,10.071882,1,0,0,0,0,0,0,0,0,334,0,0,0
3.34,1440610.551000,6143805.815000,939010.757100,276.989389,-70.280868,-33.893065,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.249692,0.000000,0.000000,10.066501,1,0,0,0,0,0,0,0,0,335,0,0,0
3.35,1440613.320000,6143805.112000,939010.418100,276.965497,-70.308801,-33.895999,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.215795,0.000000,0.000000,10.061106,1,0,0,0,0,0,0,0,0,336,0,0,0
3.36,1440616.090000,6143804.409000,939010.079100,276.941730,-70.336767,-33.898949,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.181811,0.000000,0.000000,10.055698,1,0,0,0,0,0,0,0,0,337,0,0,0
3.37,1440618.859000,6143803.705000,939009.740100,276.918089,-70.364766,-33.901914,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.147742,0.000000,0.000000,10.050275,1,0,0,0,0,0,0,0,0,338,0,0,0
3.38,1440621.628000,6143803.001000,939009.401100,276.894572,-70.392799,-33.904895,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.113586,0.000000,0.000000,10.044839,1,0,0,0,0,0,0,0,0,339,0,0,0
3.39,1440624.396000,6143802.297000,939009.062000,276.871181,-70.420865,-33.907892,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.079345,0.000000,0.000000,10.039390,1,0,0,0,0,0,0,0,0,340,0,0,0
3.40,1440627.165000,6143801.593000,939008.722900,276.847915,-70.448964,-33.910904,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.045018,0.000000,0.000000,10.033926,1,0,0,0,0,0,0,0,0,341,0,0,0
