time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,accel_x,accel_y,accel_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
9.05,1442192.313,6143357.54,938809.122,283.327223,-85.51714,-37.01684,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.922669,-68.086977,0,35.052677,0,0,5.578807,1,1,0,0,0,1,0,0,0,906,747,0,0
9.06,1442195.147,6143356.685,938808.7517,283.36714,-85.533469,-37.022792,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.905894,-68.041734,0,34.998347,0,0,5.57016,1,1,0,0,0,1,0,0,0,907,747,0,0
9.07,1442197.981,6143355.829,938808.3815,283.407117,-85.549739,-37.02874,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.889135,-67.996524,0,34.94404,0,0,5.561517,1,1,0,0,0,1,0,0,0,908,747,0,0
9.08,1442200.815,6143354.974,938808.0111,283.447153,-85.565951,-37.034682,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.872383,-67.951344,0,34.889756,0,0,5.552877,1,1,0,0,0,1,0,0,0,909,747,0,0
9.09,1442203.65,6143354.118,938807.6407,283.487247,-85.582105,-37.040618,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.855648,-67.906196,0,34.835494,0,0,5.544241,1,1,0,0,0,1,0,0,0,910,747,0,0
9.1,1442206.486,6143353.262,938807.2702,283.527399,-85.5982,-37.046549,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.838922,-67.861075,0,34.781256,0,0,5.535609,1,1,0,0,0,1,0,0,0,911,747,0,0
9.11,1442209.321,6143352.406,938806.8997,283.567609,-85.614236,-37.052475,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.822206,-67.81599,0,34.727041,0,0,5.52698,1,1,0,0,0,1,0,0,0,912,747,0,0
9.12,1442212.157,6143351.549,938806.5291,283.607877,-85.630213,-37.058394,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.805503,-67.770931,0,34.67285,0,0,5.518355,1,1,0,0,0,1,0,0,0,913,747,0,0
9.13,1442214.994,6143350.693,938806.1585,283.648203,-85.646132,-37.064309,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.788811,-67.725904,0,34.618682,0,0,5.509734,1,1,0,0,0,1,0,0,0,914,747,0,0
9.14,1442217.831,6143349.836,938805.7878,283.688585,-85.661991,-37.070217,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.772131,-67.680908,0,34.564538,0,0,5.501117,1,1,0,0,0,1,0,0,0,915,747,0,0
9.15,1442220.668,6143348.98,938805.417,283.729025,-85.677792,-37.07612,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.755464,-67.635944,0,34.510419,0,0,5.492504,1,1,0,0,0,1,0,0,0,916,747,0,0
9.16,1442223.506,6143348.123,938805.0462,283.769521,-85.693534,-37.082017,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.738807,-67.591009,0,34.456324,0,0,5.483894,1,1,0,0,0,1,0,0,0,917,747,0,0
9.17,1442226.344,6143347.266,938804.6753,283.810072,-85.709217,-37.087909,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.72216,-67.546105,0,34.402254,0,0,5.475289,1,1,0,0,0,1,0,0,0,918,747,0,0
9.18,1442229.182,6143346.408,938804.3044,283.85068,-85.724841,-37.093794,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.705526,-67.501229,0,34.348208,0,0,5.466687,1,1,0,0,0,1,0,0,0,919,747,0,0
9.19,1442232.021,6143345.551,938803.9334,283.891344,-85.740406,-37.099674,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.688906,-67.456387,0,34.294188,0,0,5.45809,1,1,0,0,0,1,0,0,0,920,747,0,0
9.2,1442234.861,6143344.693,938803.5623,283.932062,-85.755912,-37.105548,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.672295,-67.411577,0,34.240192,0,0,5.449496,1,1,0,0,0,1,0,0,0,921,747,0,0
9.21,1442237.7,6143343.836,938803.1912,283.972836,-85.771359,-37.111416,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.655697,-67.366793,0,34.186222,0,0,5.440906,1,1,0,0,0,1,0,0,0,922,747,0,0
9.22,1442240.54,6143342.978,938802.82,284.013664,-85.786746,-37.117278,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.639109,-67.322043,0,34.132278,0,0,5.432321,1,1,0,0,0,1,0,0,0,923,747,0,0
9.23,1442243.381,6143342.12,938802.4488,284.054547,-85.802075,-37.123135,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.622534,-67.277322,0,34.07836,0,0,5.423739,1,1,0,0,0,1,0,0,0,924,747,0,0
9.24,1442246.222,6143341.262,938802.0775,284.095483,-85.817343,-37.128985,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.605969,-67.232633,0,34.024468,0,0,5.415162,1,1,0,0,0,1,0,0,0,925,747,0,0
9.25,1442249.063,6143340.403,938801.7062,284.136473,-85.832553,-37.134829,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.589417,-67.187971,0,33.970602,0,0,5.406589,1,1,0,0,0,1,0,0,0,926,747,0,0
9.26,1442251.905,6143339.545,938801.3348,284.177517,-85.847703,-37.140668,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.572875,-67.143342,0,33.916762,0,0,5.39802,1,1,0,0,0,1,0,0,0,927,747,0,0
