time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
3.77,1440729.447000,6143775.326000,938996.153300,276.076188,-71.509858,-34.033016,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.938969,140.631876,-41.013649,61.715877,0.000000,0.000000,9.822387,0,0,1,0,0,0,0,0,0,0,0,378,0,0,0
3.78,1440732.207000,6143774.611000,938995.812900,276.057762,-71.539053,-34.036597,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.938825,138.423404,47.938475,61.678393,0.000000,0.000000,9.816421,0,0,1,0,0,0,0,0,0,0,0,379,0,0,0
3.79,1440734.968000,6143773.895000,938995.472500,276.039464,-71.568273,-34.040193,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.938682,85.188997,119.170731,61.640829,0.000000,0.000000,9.810443,0,0,1,0,0,0,0,0,0,0,0,380,0,0,0
3.80,1440737.728000,6143773.179000,938995.132100,276.021296,-71.597518,-34.043804,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.938538,0.617262,146.485972,61.603184,0.000000,0.000000,9.804451,0,0,1,0,0,0,0,0,0,0,0,381,0,0,0
3.81,1440740.488000,6143772.463000,938994.791600,276.003258,-71.626787,-34.047428,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.938395,-84.135325,119.914388,61.565460,0.000000,0.000000,9.798447,0,0,1,0,0,0,0,0,0,0,0,382,0,0,0
3.82,1440743.248000,6143771.746000,938994.451100,275.985348,-71.656080,-34.051067,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.938252,-137.936441,49.309679,61.527655,0.000000,0.000000,9.792430,0,0,1,0,0,0,0,0,0,0,0,383,0,0,0
3.83,1440746.007000,6143771.030000,938994.110500,275.967568,-71.685397,-34.054721,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.938110,-141.100582,-39.347491,61.489771,0.000000,0.000000,9.786401,0,0,1,0,0,0,0,0,0,0,0,384,0,0,0
3.84,1440748.767000,6143770.312000,938993.769900,275.949918,-71.714737,-34.058388,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.937968,-92.556307,-113.536877,61.451807,0.000000,0.000000,9.780359,0,0,1,0,0,0,0,0,0,0,0,385,0,0,0
3.85,1440751.526000,6143769.595000,938993.429300,275.932397,-71.744101,-34.062070,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.937825,-10.161839,-146.129130,61.413763,0.000000,0.000000,9.774304,0,0,1,0,0,0,0,0,0,0,0,386,0,0,0
3.86,1440754.285000,6143768.877000,938993.088700,275.915005,-71.773489,-34.065766,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.937684,75.901956,-125.281971,61.375641,0.000000,0.000000,9.768237,0,0,1,0,0,0,0,0,0,0,0,387,0,0,0
