time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,main_cycles,t1_cycles,t2_cycles,t3_cycles
35.06,-1195130.043,-6193684.36,952731.7594,-423.210186,234.793091,187.752974,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3507,747,1604,1707
35.07,-1195130.043,-6193684.36,952731.7594,-423.210186,234.793091,187.752974,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3508,747,1604,1707
35.08,-1195130.043,-6193684.36,952731.7594,-423.210186,234.793091,187.752974,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3509,747,1604,1707
35.09,-1195130.043,-6193684.36,952731.7594,-423.210186,234.793091,187.752974,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3510,747,1604,1707
35.1,-1195127.193,-6193669.566,952750.5042,-423.095553,235.380747,187.143717,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006202,0.016314,0.000119,1,1,1,1,1,1,1,1,3511,747,1604,1707
35.11,-1195127.193,-6193669.566,952750.5042,-423.095553,235.380747,187.143717,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3512,747,1604,1707
35.12,-1195127.193,-6193669.566,952750.5042,-423.095553,235.380747,187.143717,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3513,747,1604,1707
35.13,-1195127.193,-6193669.566,952750.5042,-423.095553,235.380747,187.143717,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3514,747,1604,1707
35.14,-1195127.193,-6193669.566,952750.5042,-423.095553,235.380747,187.143717,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3515,747,1604,1707
35.15,-1195127.193,-6193669.566,952750.5042,-423.095553,235.380747,187.143717,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006203,0.016314,0.000119,1,1,1,1,1,1,1,1,3516,747,1604,1707
