missiontime,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
1.03,1439055.393,6151288.537,941039.8607,108.8178288,-3.202311611,703.062662,-74.12044857,-128.0799483,0,68.538782,0,0,380.988485,-32.313309,143.201288,-0.741204092,-1.280800566,0,0.685388,0,0
1.04,1439056.481,6151288.189,941039.8284,108.7949138,-3.223303296,703.062662,-74.05101287,-127.9503158,0,68.527577,0,0,380.988266,-115.657721,90.40846,-0.740508554,-1.279504634,0,0.685276,0,0
1.05,1439057.569,6151287.84,941039.796,108.772021,-3.244297111,703.062662,-73.98167888,-127.8208702,0,68.516266,0,0,380.988047,-146.764431,-3.199909,-0.739816297,-1.278208702,0,0.685163,0,0
1.06,1439058.656,6151287.491,941039.7633,108.7491504,-3.265293063,703.062662,-73.91244331,-127.691615,0,68.504848,0,0,380.987828,-111.616249,-95.349306,-0.739124039,-1.276916051,0,0.685048,0,0
1.07,1439059.744,6151287.14,941039.7305,108.7263023,-3.286291154,703.062662,-73.84330945,-127.5625435,0,68.493323,0,0,380.987609,-26.105618,-144.456961,-0.738431782,-1.275626681,0,0.684933,0,0
1.08,1439060.831,6151286.789,941039.6974,108.7034767,-3.30729139,703.062662,-73.7742773,-127.4336589,0,68.481692,0,0,380.987391,71.168145,-128.390234,-0.737742806,-1.274337311,0,0.684817,0,0
1.09,1439061.918,6151286.437,941039.6641,108.6806739,-3.328293774,703.062662,-73.70534357,-127.3049614,0,68.469954,0,0,380.987173,136.331894,-54.426207,-0.737053829,-1.273051222,0,0.6847,0,0
1.1,1439063.004,6151286.084,941039.6306,108.6578939,-3.349298311,699.058429,-73.63650826,-127.1764509,0,68.458109,0,0,380.986955,140.024092,44.062359,-0.736364853,-1.271765133,0,0.684581,0,0
1.11,1439064.091,6151285.73,941039.5969,108.6351369,-3.370305006,699.058429,-73.56777466,-127.0481274,0,68.446158,0,0,380.986738,80.611005,122.677401,-0.735679157,-1.270482324,0,0.684462,0,0
1.12,1439065.177,6151285.375,941039.563,108.6124031,-3.391313863,699.058429,-73.49913949,-126.9199877,0,68.434101,0,0,380.986521,-15.10922,146.011065,-0.734990181,-1.269199516,0,0.684341,0,0
1.13,1439066.263,6151285.019,941039.5289,108.5896926,-3.412324886,699.058429,-73.43060602,-126.7920316,0,68.421937,0,0,380.986304,-104.009008,103.582272,-0.734304485,-1.267919988,0,0.684219,0,0
1.14,1439067.348,6151284.663,941039.4945,108.5670055,-3.43333808,699.058429,-73.36217098,-126.6642626,0,68.409667,0,0,380.986087,-146.067752,14.526324,-0.733622071,-1.266643741,0,0.684097,0,0
